Order ID,Order Date,Product ID,Product Category,Buyer Gender,Buyer Age,Order Location,International Shipping,Sales Price,Shipping Charges,Sales per Unit,Quantity,Total Sales,Rating,Review
189440,2024-07-21,BF1543,Clothing,Male,30,New Jersey,No,100,0,100,1,100,4,The delivery team handled the product with care.
187385,2024-07-20,BF1543,Clothing,Male,32,Las Vegas,No,100,0,100,1,100,3,Had slight delays but the product was in good shape.
181844,2024-07-21,BF1544,Other,Female,26,Cardiff,Yes,9,40,49,1,49,2,Waste of Money.
197934,2024-08-19,BF1544,Other,Male,28,Pittsburgh,No,9,0,9,2,18,3,Had slight delays but the product was in good shape.
122470,2024-01-06,BF1545,Other,Female,19,Miami,No,10,0,10,3,30,5,Lack of delivery delays is greatly appreciated.
199680,2024-06-01,BF1546,Clothing,Male,29,Sydney,Yes,118,100,218,1,218,1,The product had an underwhelming design.
130929,2024-03-06,BF1547,Ornaments,Male,32,Memphis,No,32,0,32,3,96,4,Premium quality as usual.
164427,2024-04-16,BF1547,Ornaments,Male,26,Miami,No,32,0,32,2,64,3,Not as expected.
149510,2024-05-22,BF1545,Other,Female,26,New York,No,10,0,10,1,10,4,Lack of delivery delays is greatly appreciated.
176280,2024-02-27,BF1548,Clothing,Male,20,Sydney,Yes,65,100,165,1,165,4,Great design is one of the major positives of this product.
196659,2023-11-05,BF1546,Clothing,Female,34,Montreal,Yes,118,25,143,1,143,5,The product was delivered quickly.
146245,2024-09-24,BF1548,Clothing,Male,21,Sacramento,No,65,0,65,1,65,1,There is clear evidence of subpar detailing.
150560,2024-10-04,BF1546,Clothing,Male,29,Las Vegas,No,118,0,118,3,354,5,The product was delivered quickly.
138348,2024-01-26,BF1549,Clothing,Male,26,New Jersey,No,130,0,130,2,260,2,The product had an underwhelming design.
138790,2024-05-13,BF1547,Ornaments,Male,24,Montreal,Yes,32,25,57,2,114,3,Average product
170025,2023-12-03,BF1550,Clothing,Male,34,Paris,Yes,97,50,147,1,147,5,Exquisite craftsmanship here is absolutely appreciated.
168520,2024-09-23,BF1551,Ornaments,Female,31,San Antonio,No,15,0,15,3,45,2,"Unfortunately, the delivery was late."
165261,2023-12-13,BF1548,Clothing,Male,32,Las Vegas,No,65,0,65,1,65,5,The delivery team handled the product with care.
182299,2024-03-26,BF1545,Other,Female,25,Cleveland,No,10,0,10,1,10,5,The Product exhibits good design.
165196,2024-08-31,BF1548,Clothing,Male,20,London,Yes,65,40,105,2,210,2,The product is not as advertised.
153554,2024-09-01,BF1550,Clothing,Male,23,Cleveland,No,97,0,97,1,97,1,Waste of Money.
131552,2023-11-30,BF1548,Clothing,Male,26,Portland,No,65,0,65,1,65,4,The product was affordable here compared to other brands.
146178,2024-06-04,BF1545,Other,Female,18,Detroit,No,10,0,10,2,20,3,Had slight delays but the product was in good shape.
138795,2024-06-02,BF1546,Clothing,Female,19,New Jersey,No,118,0,118,3,354,1,Never buying from here again.
142933,2024-07-23,BF1550,Clothing,Male,19,New Jersey,No,97,0,97,4,388,3,Had slight delays but the product was in good shape.
188192,2024-10-31,BF1545,Other,Male,32,Cardiff,Yes,10,40,50,2,100,1,The promotion quality does not match the product
184678,2024-06-08,BF1551,Ornaments,Male,28,Sacramento,No,15,0,15,1,15,5,Discount deals was greatly appreciated.
128904,2024-02-28,BF1543,Clothing,Male,22,Sydney,Yes,100,100,200,3,600,5,The product was delivered quickly.
191045,2023-11-29,BF1550,Clothing,Male,20,Dublin,Yes,97,40,137,1,137,4,Exquisite craftsmanship here is absolutely appreciated.
163054,2024-01-16,BF1548,Clothing,Male,30,Glasgow,Yes,65,40,105,4,420,1,Careless handling by the delivery team.
121078,2023-12-13,BF1545,Other,Female,22,Austin,No,10,0,10,4,40,5,The product was affordable here compared to other brands.
180876,2024-07-14,BF1544,Other,Male,31,Sacramento,No,9,0,9,1,9,4,Great design is one of the major positives of this product.
155281,2024-02-26,BF1547,Ornaments,Male,22,Cleveland,No,32,0,32,3,96,5,Incredible detailing was clearly evident.
183087,2024-02-16,BF1548,Clothing,Male,25,Austin,No,65,0,65,1,65,2,The product had poor quality.
185910,2024-07-09,BF1548,Clothing,Female,22,Glasgow,Yes,65,40,105,1,105,4,The product had excellent quality.
165100,2024-10-12,BF1545,Other,Male,29,Dublin,Yes,10,40,50,1,50,5,The Product exhibits good design.
167831,2024-03-09,BF1547,Ornaments,Male,22,New Jersey,No,32,0,32,1,32,5,The product had excellent quality.
185069,2024-01-12,BF1544,Other,Male,32,Cleveland,No,9,0,9,1,9,4,The Product exhibits good design.
153675,2024-05-30,BF1547,Ornaments,Male,31,Cardiff,Yes,32,40,72,5,360,5,Discount deals was greatly appreciated.
169012,2024-06-10,BF1544,Other,Female,21,New York,No,9,0,9,1,9,2,The promotion quality does not match the product
185868,2024-01-14,BF1545,Other,Female,18,Pittsburgh,No,10,0,10,1,10,4,Discount deals was greatly appreciated.
199507,2024-05-10,BF1545,Other,Male,22,Cleveland,No,10,0,10,2,20,3,Average product
187807,2024-04-21,BF1548,Clothing,Male,20,Pittsburgh,No,65,0,65,1,65,2,Never buying from here again.
131889,2024-04-17,BF1548,Clothing,Female,19,Montreal,Yes,65,25,90,1,90,4,The product was affordable here compared to other brands.
191650,2024-07-11,BF1548,Clothing,Male,35,Las Vegas,No,65,0,65,5,325,1,The promotion quality does not match the product
120961,2024-08-28,BF1548,Clothing,Female,23,Glasgow,Yes,65,40,105,1,105,3,The handling was questionable but incurred only minute damages.
123878,2024-07-18,BF1544,Other,Male,19,Toronto,Yes,9,25,34,1,34,4,Great design is one of the major positives of this product.
142003,2024-07-22,BF1548,Clothing,Male,32,Cardiff,Yes,65,40,105,1,105,5,Lack of delivery delays is greatly appreciated.
177177,2024-05-12,BF1549,Clothing,Male,33,Las Vegas,No,130,0,130,1,130,3,Had slight delays but the product was in good shape.
182615,2024-02-18,BF1550,Clothing,Female,26,Sacramento,No,97,0,97,5,485,2,Never buying from here again.
163266,2024-06-23,BF1551,Ornaments,Female,26,Mumbai,Yes,15,70,85,1,85,5,Premium quality as usual.
159105,2024-04-20,BF1545,Other,Male,21,London,Yes,10,40,50,1,50,4,The product was affordable here compared to other brands.
150308,2024-06-09,BF1548,Clothing,Female,22,Glasgow,Yes,65,40,105,3,315,4,The product was delivered quickly.
125917,2024-05-29,BF1552,Ornaments,Male,28,London,Yes,45,40,85,1,85,5,Discount deals was greatly appreciated.
199874,2024-02-26,BF1552,Ornaments,Male,26,New Jersey,No,45,0,45,2,90,4,The product was delivered quickly.
175571,2024-04-02,BF1550,Clothing,Female,21,Memphis,No,97,0,97,1,97,4,The Product exhibits good design.
184218,2023-12-19,BF1545,Other,Female,25,San Antonio,No,10,0,10,2,20,3,Had slight delays but the product was in good shape.
192227,2024-02-15,BF1543,Clothing,Male,33,San Francisco,No,100,0,100,3,300,1,"Unfortunately, the delivery was late."
139449,2024-01-20,BF1549,Clothing,Female,25,Austin,No,130,0,130,1,130,2,The promotion quality does not match the product
168070,2024-09-26,BF1553,Ornaments,Male,18,London,Yes,50,40,90,1,90,5,The product was delivered quickly.
163107,2024-08-25,BF1548,Clothing,Male,32,Las Vegas,No,65,0,65,1,65,4,Exquisite craftsmanship here is absolutely appreciated.
135780,2024-10-20,BF1548,Clothing,Female,27,London,Yes,65,40,105,1,105,4,Exquisite craftsmanship here is absolutely appreciated.
138768,2024-03-06,BF1548,Clothing,Male,28,Manchester,Yes,65,40,105,1,105,5,The product was affordable here compared to other brands.
133935,2024-04-16,BF1544,Other,Male,24,New York,No,9,0,9,2,18,5,Incredible detailing was clearly evident.
193605,2024-04-05,BF1545,Other,Male,21,Liverpool,Yes,10,40,50,1,50,1,Low quality products are a usual here these days.
132689,2024-04-21,BF1554,Ornaments,Male,29,Miami,No,20,0,20,1,20,5,Discount deals was greatly appreciated.
123840,2024-09-20,BF1551,Ornaments,Male,34,Portland,No,15,0,15,4,60,1,The promotion quality does not match the product
180476,2024-02-29,BF1553,Ornaments,Female,24,Manchester,Yes,50,40,90,2,180,5,The Product exhibits good design.
173951,2024-02-05,BF1551,Ornaments,Male,33,Sacramento,No,15,0,15,1,15,4,The delivery team handled the product with care.
168749,2024-03-02,BF1548,Clothing,Male,20,Detroit,No,65,0,65,1,65,1,There is clear evidence of subpar detailing.
167082,2024-10-03,BF1543,Clothing,Female,20,Las Vegas,No,100,0,100,2,200,4,The delivery team handled the product with care.
134606,2024-04-08,BF1543,Clothing,Female,32,Liverpool,Yes,100,40,140,1,140,3,Had slight delays but the product was in good shape.
178674,2024-04-22,BF1551,Ornaments,Female,21,Toronto,Yes,15,25,40,3,120,4,The product was affordable here compared to other brands.
155829,2023-11-13,BF1549,Clothing,Male,26,New Jersey,No,130,0,130,2,260,1,There is clear evidence of subpar detailing.
169753,2024-07-13,BF1543,Clothing,Male,31,New Jersey,No,100,0,100,5,500,5,The product was delivered quickly.
167695,2023-12-11,BF1552,Ornaments,Female,26,Paris,Yes,45,50,95,2,190,1,Never buying from here again.
158619,2024-01-31,BF1545,Other,Female,24,San Francisco,No,10,0,10,1,10,4,Premium quality as usual.
131132,2024-02-03,BF1544,Other,Male,24,Cleveland,No,9,0,9,1,9,4,Premium quality as usual.
132399,2024-01-26,BF1548,Clothing,Male,20,San Francisco,No,65,0,65,2,130,4,The product was affordable here compared to other brands.
198208,2024-09-21,BF1548,Clothing,Male,25,New York,No,65,0,65,2,130,5,The delivery team handled the product with care.
194476,2024-02-09,BF1544,Other,Female,31,Detroit,No,9,0,9,3,27,1,The product had an underwhelming design.
137794,2024-01-20,BF1550,Clothing,Male,23,New Jersey,No,97,0,97,1,97,2,"Unfortunately, the delivery was late."
158342,2024-03-30,BF1550,Clothing,Male,34,New Jersey,No,97,0,97,1,97,3,Not as expected.
132788,2024-11-03,BF1546,Clothing,Male,19,New Jersey,No,118,0,118,1,118,5,Lack of delivery delays is greatly appreciated.
131843,2024-09-24,BF1549,Clothing,Male,34,Detroit,No,130,0,130,3,390,4,The product was delivered quickly.
